##FastQC	0.11.4
>>Basic Statistics	pass
#Measure	Value
Filename	R14_REEVESBYISLAND_R2.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	43222270
Sequences flagged as poor quality	0
Sequence length	100
%GC	45
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	35.72810983782203	37.0	37.0	37.0	37.0	37.0
2	35.872863410459466	37.0	37.0	37.0	37.0	37.0
3	35.95410858800336	37.0	37.0	37.0	37.0	37.0
4	35.94717679103851	37.0	37.0	37.0	37.0	37.0
5	36.006947737821264	37.0	37.0	37.0	37.0	37.0
6	35.92459713476409	37.0	37.0	37.0	37.0	37.0
7	35.92273857897792	37.0	37.0	37.0	37.0	37.0
8	35.96292464509615	37.0	37.0	37.0	37.0	37.0
9	35.94958617397929	37.0	37.0	37.0	37.0	37.0
10-11	35.92341369391288	37.0	37.0	37.0	37.0	37.0
12-13	35.903701621872244	37.0	37.0	37.0	37.0	37.0
14-15	35.883713754506644	37.0	37.0	37.0	37.0	37.0
16-17	35.877924782756665	37.0	37.0	37.0	37.0	37.0
18-19	35.8735224572888	37.0	37.0	37.0	37.0	37.0
20-21	35.86343710082788	37.0	37.0	37.0	37.0	37.0
22-23	35.847247934918734	37.0	37.0	37.0	37.0	37.0
24-25	35.8039366280392	37.0	37.0	37.0	37.0	37.0
26-27	35.77257880023423	37.0	37.0	37.0	37.0	37.0
28-29	35.760004807706764	37.0	37.0	37.0	37.0	37.0
30-31	35.75769914444568	37.0	37.0	37.0	37.0	37.0
32-33	35.74685569499242	37.0	37.0	37.0	37.0	37.0
34-35	35.735789015708804	37.0	37.0	37.0	37.0	37.0
36-37	35.719397431000274	37.0	37.0	37.0	37.0	37.0
38-39	35.700447223156026	37.0	37.0	37.0	37.0	37.0
40-41	35.689134235661385	37.0	37.0	37.0	37.0	37.0
42-43	35.68726312847521	37.0	37.0	37.0	37.0	37.0
44-45	35.666225755842994	37.0	37.0	37.0	37.0	37.0
46-47	35.65533015734712	37.0	37.0	37.0	37.0	37.0
48-49	35.63582351181463	37.0	37.0	37.0	37.0	37.0
50-51	35.61415893936159	37.0	37.0	37.0	37.0	37.0
52-53	35.61118322799797	37.0	37.0	37.0	37.0	37.0
54-55	35.58987457160394	37.0	37.0	37.0	37.0	37.0
56-57	35.59045788201314	37.0	37.0	37.0	37.0	37.0
58-59	35.58523403560248	37.0	37.0	37.0	37.0	37.0
60-61	35.59661685978085	37.0	37.0	37.0	37.0	37.0
62-63	35.578876757282764	37.0	37.0	37.0	37.0	37.0
64-65	35.578991096488	37.0	37.0	37.0	37.0	37.0
66-67	35.524709183483424	37.0	37.0	37.0	37.0	37.0
68-69	35.53701210047505	37.0	37.0	37.0	37.0	37.0
70-71	35.53112942702917	37.0	37.0	37.0	37.0	37.0
72-73	35.50649742597971	37.0	37.0	37.0	37.0	37.0
74-75	35.49743818406576	37.0	37.0	37.0	37.0	37.0
76-77	35.45422686036619	37.0	37.0	37.0	37.0	37.0
78-79	35.4512379613565	37.0	37.0	37.0	37.0	37.0
80-81	35.44509095658326	37.0	37.0	37.0	37.0	37.0
82-83	35.45226415688023	37.0	37.0	37.0	37.0	37.0
84-85	35.43581363264817	37.0	37.0	37.0	37.0	37.0
86-87	35.428915417908414	37.0	37.0	37.0	37.0	37.0
88-89	35.439770805651804	37.0	37.0	37.0	37.0	37.0
90-91	35.40528764454065	37.0	37.0	37.0	37.0	37.0
92-93	35.36290267725411	37.0	37.0	37.0	37.0	37.0
94-95	35.34367364323993	37.0	37.0	37.0	37.0	37.0
96-97	35.34427104360785	37.0	37.0	37.0	37.0	37.0
98-99	35.3149918317571	37.0	37.0	37.0	37.0	37.0
100	35.28179417693703	37.0	37.0	37.0	37.0	37.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1103	22-23	0.02224038598767919
1103	24-25	0.10015857288575347
1103	26-27	0.01662101222095913
1103	28-29	0.03439845512349393
1103	30-31	0.011032440595201365
1103	32-33	0.023944999488485053
1103	34-35	0.011199834796364883
1103	36-37	0.04954044798816426
1103	38-39	-0.007502751915552608
1103	40-41	0.009978975108325017
1103	42-43	0.09523579434461027
1103	44-45	0.08997828023539256
1103	46-47	0.06771017855565731
1103	48-49	0.02150396866895221
1103	50-51	0.04479629324101353
1103	52-53	0.059354981962762565
1103	54-55	0.09895642005373873
1103	56-57	0.10153116029198372
1103	58-59	0.08102540435240257
1103	60-61	0.09174771811203897
1103	62-63	0.058956636285856234
1103	64-65	0.06595592931090266
1103	66-67	0.09068692487222307
1103	68-69	0.02131968175454091
1103	70-71	0.0965266740604136
1103	72-73	0.03570764344753741
1103	74-75	0.13244466045547654
1103	76-77	0.13989753487939538
1103	78-79	0.12065832448688951
1103	80-81	0.08047563013781911
1103	82-83	0.11148835667464851
1103	84-85	0.03988503828627188
1103	86-87	0.03047032841373465
1103	88-89	0.010122308950919034
1103	90-91	0.05374474051986056
1103	92-93	0.04930259823368033
1103	94-95	-0.014567586063840565
1103	96-97	0.08150666381332172
1103	98-99	0.12200636244675422
1103	100	0.10175204073996014
1104	1	-0.11226218113118591
1104	2	-0.018165668898035392
1104	3	-0.06123583956862433
1104	4	-0.04617284882817785
1104	5	0.02663402314224328
1104	6	-0.038657457901315695
1104	7	-0.11285331812897681
1104	8	0.03687154847759899
1104	9	-0.039273607816284084
1104	10-11	-0.03580425866234549
1104	12-13	-0.044805770540023104
1104	14-15	0.0024028004018390448
1104	16-17	0.01165879486329402
1104	18-19	-0.025558901747679386
1104	20-21	0.002589415046500676
1104	22-23	-0.007337089566512134
1104	24-25	0.0014895369277638792
1104	26-27	-0.0019484988949969306
1104	28-29	0.024918288113276787
1104	30-31	-0.0059467637086143554
1104	32-33	-0.01863362339140906
1104	34-35	-0.019033989291330045
1104	36-37	0.019230189158463418
1104	38-39	-0.018084043389137605
1104	40-41	-0.006798791157834216
1104	42-43	0.056843613686801575
1104	44-45	0.0010112422382277941
1104	46-47	-0.016095967094670982
1104	48-49	0.0068408917738764785
1104	50-51	0.02639818780761516
1104	52-53	0.01281434721152408
1104	54-55	0.07198522994809053
1104	56-57	0.025162857723792342
1104	58-59	0.00232353673293062
1104	60-61	0.042989392759487544
1104	62-63	0.06529886315728817
1104	64-65	0.006261447948787691
1104	66-67	0.012345646658054932
1104	68-69	0.012296204591443427
1104	70-71	0.03131461004634417
1104	72-73	0.060510608917475395
1104	74-75	0.04200269497228959
1104	76-77	0.06292156063970111
1104	78-79	0.12126256123679724
1104	80-81	0.09702553113162082
1104	82-83	0.07119183691246889
1104	84-85	0.0864533380817818
1104	86-87	0.011528948352591328
1104	88-89	0.027984257161705273
1104	90-91	0.023699048016766255
1104	92-93	0.06380915410648669
1104	94-95	0.05984295044368082
1104	96-97	0.13121800971216402
1104	98-99	0.017154869889765223
1104	100	0.10735968951198771
1105	1	0.03863176168098903
1105	2	-0.0043917042008843055
1105	3	-0.01474074248806545
1105	4	-0.03698389925979484
1105	5	-0.002188041983153255
1105	6	-0.026281157292757484
1105	7	-0.010065408717281343
1105	8	0.023864860117299713
1105	9	-0.10224791605249095
1105	10-11	0.019002497085708114
1105	12-13	0.011457050383583578
1105	14-15	0.009431923287081645
1105	16-17	0.04031473246863726
1105	18-19	0.04573675516019904
1105	20-21	0.0046859726057206785
1105	22-23	0.012059503891784118
1105	24-25	0.035713863841415616
1105	26-27	0.033042720440917606
1105	28-29	0.03344105373383144
1105	30-31	0.027896351376803352
1105	32-33	0.045212339879540764
1105	34-35	0.02106063736179209
1105	36-37	0.018692401605093778
1105	38-39	-0.040287728167562875
1105	40-41	-0.06450632874179973
1105	42-43	0.04071708182728884
1105	44-45	0.07648865039276842
1105	46-47	0.04819972907998249
